,선명,역명,도로명주소,latlon,name
985,1호선,금정,경기도 군포시 군포로 750(금정동),"(37.3722878708479, 126.943387264162)",1호선 금정
986,1호선,금천구청,서울특별시 금천구 시흥대로63길 91  ,"(37.455609978438, 126.894514076077)",1호선 금천구청
987,1호선,남영,서울특별시 용산구 한강대로77길 25  ,"(37.5405646005342, 126.971332437837)",1호선 남영
988,1호선,노량진,서울특별시 동작구 노량진로 151  ,"(37.5158026675555, 126.948359181242)",1호선 노량진
989,1호선,녹양,경기도 의정부시 평화로 757,"(37.7593972381027, 127.042273911226)",1호선 녹양
990,1호선,녹천,서울특별시 도봉구 덕릉로 376,"(37.6456959058103, 127.050919992127)",1호선 녹천
991,1호선,당정,경기도 군포시 당정역로 91,"(37.3444543328447, 126.948347418727)",1호선 당정
992,1호선,대방,서울특별시 영등포구 여의대방로 300,"(37.5133254586186, 126.926303024833)",1호선 대방
993,1호선,덕계,경기도 양주시 덕계로 126,"(37.8187729615258, 127.056653419502)",1호선 덕계
994,1호선,덕정,경기도 양주시 화합로 1356,"(37.844283985167, 127.061969695022)",1호선 덕정
995,1호선,도봉,서울특별시 도봉구 도봉로 170길 2,"(37.6803629061562, 127.045764016316)",1호선 도봉
996,1호선,도봉산,서울특별시 도봉구 도봉로 948,"(37.688861412909, 127.046140090232)",1호선 도봉산
997,1호선,도원,인천광역시 동구 참외전로 245번지,"(37.468791983109, 126.642404388038)",1호선 도원
998,1호선,도화,인천광역시 미추홀구 숙골로 24번길 9,"(37.4661106428252, 126.668375888234)",1호선 도화
999,1호선,독산,서울특별시 금천구 벚꽃로115,"(37.4659873169402, 126.889514168718)",1호선 독산
1000,1호선,동두천,경기도 동두천시 평화로 2687(동두천역),"(37.9278370541411, 127.054940223638)",1호선 동두천
1001,1호선,동두천중앙,경기도 동두천시 동두천로 228,"(37.9018057802045, 127.056238895955)",1호선 동두천중앙
1002,1호선,동암,인천부평구 동암광장로 10,"(37.4710056673671, 126.702935214739)",1호선 동암
1003,1호선,동인천,인천광역시 중구 참외전로 121 ,"(37.4758761372275, 126.631812648275)",1호선 동인천
1004,1호선,두정,충청남도 천안시 서북구 두정로 289  ,"(36.8329346310528, 127.149020699344)",1호선 두정
1005,1호선,망월사,경기도 의정부시 평화로 221,"(37.7104595643597, 127.047359692995)",1호선 망월사
1006,1호선,방학,서울시 도봉구 방학동 728,"(37.6659266659282, 127.044415235348)",1호선 방학
1007,1호선,배방,충청남도 아산시 배방읍 온천대로 1967  ,"(36.7775631745193, 127.052904723378)",1호선 배방
1008,1호선,백운,인천광역시 부평구 마장로 55번길 14,"(37.4832252226726, 126.70727338322)",1호선 백운
1009,1호선,병점,경기도 화성시 떡전골로 97,"(37.2068017946815, 127.033243427141)",1호선 병점
1010,1호선,보산,경기도 동두천시 평화로 2539,"(37.9143185033452, 127.057237110508)",1호선 보산
1011,1호선,봉명,충청남도 천안시 동남구 차돌로 51,"(36.8012573235829, 127.135835679685)",1호선 봉명
1012,1호선,부개,인천광역시 부평구 수변로 22  ,"(37.4883181353962, 126.740251327956)",1호선 부개
1013,1호선,부천,경기도 부천시 부천로 1,"(37.4840369248427, 126.782649695027)",1호선 부천
1014,1호선,부평,인천광역시 부평구 광장로 16,"(37.4895676659869, 126.72335064425)",1호선 부평
1015,1호선,서동탄,경기도 오산시 외삼미로 15번길 75-60,"(37.1959264123992, 127.052133990784)",1호선 서동탄
1016,1호선,서정리,경기도 평택시 탄현로51,"(37.0570033704623, 127.053006355073)",1호선 서정리
1017,1호선,석계,서울특별시 노원구 화랑로 341,"(37.6153059403184, 127.065647254398)",1호선 석계
1018,1호선,석수,경기도 안양시 만안구 경수대로 1431,"(37.4343424740399, 126.902529209911)",1호선 석수
1019,1호선,성균관대,경기도 수원시 장안구 서부로 2149  ,"(37.3001863040678, 126.972261050259)",1호선 성균관대
1020,1호선,성환,충청남도 천안시 서북구 성환읍 성환1로 237-5  ,"(36.9167500567322, 127.126732155397)",1호선 성환
1021,1호선,세류,경기도 수원시 권선구 정조로 393-1(정자동 세류역사)  ,"(37.2446548766964, 127.01397825425)",1호선 세류
1022,1호선,세마,경기도 오산시 세마역로 88,"(37.1869917898194, 127.043062518202)",1호선 세마
1023,1호선,소사,경기도 부천시 소사구 경인로 363,"(37.4824529147477, 126.796018552602)",1호선 소사
1024,1호선,소요산,경기도 동두천시 평화로 2925,"(37.947953996357, 127.061213156402)",1호선 소요산
1025,1호선,송내,경기도 부천시 소사구 송내대로 43  ,"(37.4876747409104, 126.752771844443)",1호선 송내
1026,1호선,송탄,경기도 평택시 송탄공원로 43,"(37.0752833781957, 127.054299835138)",1호선 송탄
1027,1호선,신길,서울특별시 영등포구 영등포로 327  ,"(37.5170318506784, 126.917224932059)",1호선 신길
1028,1호선,신도림,서울특별시 구로구 새말로 117-21  ,"(37.5087701449787, 126.891080501385)",1호선 신도림
1029,1호선,신이문,서울특별시 동대문구 한천로 472,"(37.604278644666, 127.069577322142)",1호선 신이문
1030,1호선,신창(순천향대),충남 아산시 신창면 행목로 50  ,"(36.7694848050308, 126.949921514343)",1호선 신창(순천향대)
1031,1호선,쌍용(나사렛대),충청남도 천안시 서북구 쌍용19로 20,"(36.793724274634, 127.1213503702)",1호선 쌍용(나사렛대)
1032,1호선,아산,충청남도 아산시 배방읍 희망로 90,"(36.7920474174232, 127.104115243093)",1호선 아산
1033,1호선,안양,경기도 안양시 만안구 만안로 232,"(37.4014349994721, 126.92300270344)",1호선 안양
1034,1호선,양주,경기도 양주시 평화로 919,"(37.7736548042753, 127.044790945301)",1호선 양주
1035,1호선,역곡,경기도 부천시 역곡로 1,"(37.4852888314378, 126.811871466794)",1호선 역곡
1036,1호선,영등포,서울특별시 영등포구 경인로 846,"(37.5156680341198, 126.907665995469)",1호선 영등포
1037,1호선,오류동,서울시 구로구 경인로 20길 13,"(37.494359185399, 126.844600701673)",1호선 오류동
1038,1호선,오산,경기도 오산시 역광장로 59,"(37.1458776988012, 127.066843316636)",1호선 오산
1039,1호선,오산대,경기도 오산시 청학로 236,"(37.1693006160923, 127.063064763281)",1호선 오산대
1040,1호선,온수,서울시 구로구 부일로 872,"(37.4924739158747, 126.824038632379)",1호선 온수
1041,1호선,온양온천,충청남도 아산시 온천대로 1496  ,"(36.7804682813951, 127.003451110541)",1호선 온양온천
1042,1호선,외대앞,서울특별시 동대문구 휘경로 27  ,"(37.5954136758127, 127.063058800869)",1호선 외대앞
1043,1호선,용산,서울 용산구 한강대로23길 55,"(37.5297718014452, 126.964741503485)",1호선 용산
1044,1호선,월계,서울시 노원구 월계로 53길 40,"(37.6321089404669, 127.058729394991)",1호선 월계
1045,1호선,의왕,경기도 의왕시 철도박물관로 66  ,"(37.3211117738404, 126.948383028902)",1호선 의왕
1046,1호선,의정부,경기도 의정부시 평화로 525,"(37.7379901517646, 127.045879450143)",1호선 의정부
1047,1호선,인천,인천광역시 중구 제물량로 269,"(37.4765938446837, 126.617089760956)",1호선 인천
1048,1호선,주안,인천광역시 남구 주안로 95-19  ,"(37.4649825668815, 126.680603833441)",1호선 주안
1049,1호선,중동,경기도 부천시 소사구 중동로 73,"(37.4866184306426, 126.764292213307)",1호선 중동
1050,1호선,지행,경기도 동두천시 평화로 2285,"(37.8918774567748, 127.055664161171)",1호선 지행
1051,1호선,직산,충청남도 천안시 서북구 직산읍 천안대로 1471-33  ,"(36.8713897700414, 127.143691456107)",1호선 직산
1052,1호선,진위,경기도 평택시 진위면 경기대로 1855,"(37.1099375555493, 127.062366903315)",1호선 진위
1053,1호선,창동,서울특별시 도봉구 마들로 11길 77(창동역 1호선),"(37.6532084846758, 127.04768378525)",1호선 창동
1054,1호선,천안,충청남도 천안시 동남구 대흥로 239,"(36.8123208138282, 127.146822493854)",1호선 천안
1055,1호선,탕정,충남 아산시 탕정면 한들물빛6로 11,"(36.7877232410844, 127.084447967937)",1호선 탕정
1056,1호선,평택,경기도 평택시 평택로 51,"(36.9918974768998, 127.083288658126)",1호선 평택
1057,1호선,평택지제,경기도 평택시 경기대로 777,"(37.0187847572567, 127.070485287852)",1호선 평택지제
1058,1호선,화서,경기도 수원시 팔달구 덕영대로 692  ,"(37.2848936747156, 126.989199634131)",1호선 화서
1059,1호선,회기,서울특별시 동대문구 회기로 196,"(37.5897442387671, 127.058035421223)",1호선 회기
1060,1호선,회룡,경기도 의정부시 평화로 363(회룡역),"(37.7244219058017, 127.047218627472)",1호선 회룡
1061,3호선,대화,경기 고양시 일산서구 중앙로 1569,"(37.675954868441, 126.747305098166)",3호선 대화
1062,3호선,마두,경기도 고양시 일산동구 중앙로 지하 1180,"(37.6523303524635, 126.778195968273)",3호선 마두
1063,3호선,백석,경기도 고양시 일산동구 중앙로 1042 (백석동) 백석역,"(37.6431608335662, 126.788171623016)",3호선 백석
1064,3호선,삼송,경기도 고양시 덕양구 삼송로 194 삼송역,"(37.6532535002136, 126.895742528622)",3호선 삼송
1065,3호선,원당,경기도 고양시 덕양구 고양대로 1429 원당역,"(37.6534333656508, 126.843104741837)",3호선 원당
1066,3호선,원흥,"경기도 고양시 덕양구 권율대로 681 (원흥동, 원흥역) 원흥역","(37.6509206996283, 126.873307347639)",3호선 원흥
1067,3호선,정발산,경기도 고양시 일산동구 중앙로 1270  ,"(37.659658137905, 126.77346582683)",3호선 정발산
1068,3호선,주엽,"경기도 고양시 일산서구 중앙로 1432 (주엽동, 주엽역) 주엽역","(37.6704315940863, 126.761046013417)",3호선 주엽
1069,3호선,화정,경기도 고양시 덕양구 화정로 60,"(37.6345077843042, 126.832630042005)",3호선 화정
1070,4호선,경마공원,경기도 과천시 경마공원대로 지하105,"(37.4441407439838, 127.008051189437)",4호선 경마공원
1071,4호선,고잔,경기도 안산시 단원구 중앙대로 784,"(37.3169100461483, 126.822032221336)",4호선 고잔
1072,4호선,과천,경기도 과천시 별양로 지하 177,"(37.4334527847941, 126.997456834042)",4호선 과천
1073,4호선,금정,경기도 군포시 군포로 750(금정동),"(37.3722878708479, 126.943387264162)",4호선 금정
1074,4호선,대공원,경기도 과천시 대공원대로 50,"(37.4357353154423, 127.005564107175)",4호선 대공원
1075,4호선,대야미,군포시 대야1로 28번,"(37.3283278084294, 126.917178861076)",4호선 대야미
1076,4호선,반월,경기도 안산시 상록구 건건로 119-10,"(37.3120043860232, 126.903795028845)",4호선 반월
1077,4호선,범계,경기도 안양시 동안구 동안로 지하 130,"(37.38973437119, 126.950983854413)",4호선 범계
1078,4호선,산본,경기도 군포시 번영로 504 (산본동),"(37.3581051591978, 126.933175158373)",4호선 산본
