,name,도로명주소,브랜드,latlon
85,남천,부산광역시 수영구 남천바다로 38 (남천동),스타벅스,"(35.1483051929022, 129.114178373549)"
86,밀락더마켓,부산광역시 수영구 민락수변로17번길 56 (민락동),스타벅스,"(35.154220357296, 129.127039355614)"
87,스타필드명지,부산광역시 강서구 명지국제6로 168 스타필드 명지 1층,스타벅스,"(35.0931119772294, 128.918143592831)"
88,명지강변DT,부산광역시 강서구 르노삼성대로 620 (명지동),스타벅스,"(35.1026445196082, 128.929483769125)"
89,명지국제신도시,부산광역시 강서구 명지국제5로 42 (명지동),스타벅스,"(35.0976643142014, 128.920247351245)"
90,명지오션시티,부산광역시 강서구 명지오션시티11로 66 (명지동),스타벅스,"(35.0840317240018, 128.903149444771)"
91,명지퍼스트월드,"부산광역시 강서구 명지국제7로 37 (명지동, 더샵 명지퍼스트월드 2단지)",스타벅스,"(35.0975218758561, 128.905203069718)"
92,동래역,부산광역시 동래구 충렬대로181번길 42 ,스타벅스,"(35.2056187592235, 129.080163966075)"
93,명륜역,부산광역시 동래구 동래로 25 ,스타벅스,"(35.2124840859621, 129.078381024198)"
94,사직구장,부산광역시 동래구 사직북로 4 (사직동),스타벅스,"(35.1962690162664, 129.061358966141)"
95,부산안락DT,부산광역시 동래구 충렬대로 446 (안락동),스타벅스,"(35.1958904040062, 129.106880725779)"
96,동래미남DT,부산광역시 동래구 충렬대로 101 (온천동),스타벅스,"(35.2071684628179, 129.07204783091)"
97,부산사직,부산광역시 동래구 사직북로 24 (사직동),스타벅스,"(35.1979717396496, 129.060539315933)"
98,부산온천장역,"부산광역시 동래구 중앙대로 1523, SK허브스카이위아아파트 1층 (온천동)",스타벅스,"(35.2212896964575, 129.08557677639)"
99,부산동래,부산광역시 동래구 충렬대로 194 (명륜동),스타벅스,"(35.2029160360188, 129.080986296242)"
100,동래허심청,부산광역시 동래구 온천장로107번길 32 (온천동) 1층,스타벅스,"(35.2211550981779, 129.082686623437)"
101,부산송도해수욕장,"부산광역시 서구 송도해변로 97(101,102,201) (암남동)",스타벅스,"(35.0772275861327, 129.017845481106)"
102,부민사거리,부산광역시 서구 구덕로 212 (부민동1가),스타벅스,"(35.1035935290696, 129.020259698374)"
103,부산동대신역,부산광역시 서구 구덕로322번길 7 (동대신동3가),스타벅스,"(35.1126452473551, 129.016735735098)"
104,동아대병원,부산광역시 서구 동대로 8 (동대신동3가),스타벅스,"(35.1194194692682, 129.01715840288)"
105,더해운대R,"부산광역시 해운대구 해운대해변로 197 (우동, 해운대경동제이드아파트)",스타벅스,"(35.158802549379, 129.152836637292)"
106,수영강변DT,부산광역시 해운대구 수영강변대로 516 (반여동),스타벅스,"(35.2039338607245, 129.119387342464)"
107,센텀파크,"부산광역시 해운대구 센텀중앙로 145 (재송동, 더샵센텀파크1차아파트)",스타벅스,"(35.1767570378219, 129.123591937256)"
108,해운대역,부산광역시 해운대구 구남로 9 (우동),스타벅스,"(35.1633069847366, 129.159614124407)"
109,부산재송DT,부산광역시 해운대구 해운대로 189 (재송동),스타벅스,"(35.1812444744102, 129.123977507105)"
110,해운대,부산광역시 해운대구 구남로 49 (중동) 101호,스타벅스,"(35.1601601914016, 129.162174768232)"
111,센텀로,부산광역시 해운대구 센텀2로 10 (우동) 센텀메디컬센타 1층 스타벅스 센텀로점,스타벅스,"(35.1678303309299, 129.131522464341)"
112,센텀신세계B1,부산광역시 해운대구 센텀남대로 35 (우동) 센텀시티 신세계UEC,스타벅스,"(35.1688178394069, 129.129523260187)"
113,해운대달맞이DT,부산광역시 해운대구 달맞이길 57 (중동) 1~3층,스타벅스,
114,센텀그린타워,부산광역시 해운대구 센텀중앙로 78 (우동),스타벅스,"(35.1746227393945, 129.127007076781)"
115,부산송정비치,부산광역시 해운대구 송정해변로 36 (송정동),스타벅스,"(35.1807275181, 129.2022558791)"
116,장산역,부산광역시 해운대구 해운대로 802 (좌동),스타벅스,"(35.1691555499786, 129.176665611527)"
117,하버타운,부산광역시 해운대구 해운대해변로 257 (우동),스타벅스,"(35.1596847186859, 129.159515044855)"
118,벡스코,"부산광역시 해운대구 APEC로 55, 벡스코내 (우동)",스타벅스,"(35.1690637154991, 129.136018268316)"
119,베네시티,부산광역시 해운대구 해운대해변로 163 (우동),스타벅스,"(35.1581691082817, 129.150728404706)"
120,팔레드시즈,"부산광역시 해운대구 해운대해변로298번길 24, 팔래드시즈 1-3호 (중동)",스타벅스,"(35.160201591128, 129.166579258799)"
121,블루스퀘어,부산광역시 해운대구 좌동로 96 (좌동),스타벅스,"(35.1722811210975, 129.175614056554)"
122,센텀시티역,"부산광역시 해운대구 센텀동로 9, 트럼프월드센텀아파트 1층 (우동)",스타벅스,"(35.1698704966296, 129.132455662366)"
123,제니스스퀘어,"부산광역시 해운대구 마린시티2로 33, 제니스스퀘어 (우동)",스타벅스,"(35.1572036560166, 129.144817207267)"
124,마린시티아이파크,부산광역시 해운대구 마린시티2로 38 (우동),스타벅스,"(35.157037795554, 129.143328681551)"
125,해운대달맞이,부산광역시 해운대구 달맞이길 189 (중동),스타벅스,"(35.1579136940403, 129.182297074709)"
126,해운대이마트,부산광역시 해운대구 좌동순환로 511 (중동) 1층,스타벅스,"(35.1660208153462, 129.167373764158)"
127,센텀드림월드,"부산광역시 해운대구 센텀2로 25, 센텀드림월드 1층 (우동)",스타벅스,"(35.1669483088462, 129.132959320724)"
128,센텀KNN,부산광역시 해운대구 센텀서로 30 (우동),스타벅스,"(35.1720591571479, 129.128432630796)"
129,월드마크센텀,"부산광역시 해운대구 센텀동로 25, 1층 (우동)",스타벅스,"(35.1719091709265, 129.131436572074)"
130,해운대NC,부산광역시 해운대구 해운대로 813 (좌동),스타벅스,"(35.1705360467282, 129.177049101754)"
131,해운대좌동,부산광역시 해운대구 좌동순환로 178 (좌동),스타벅스,"(35.1774991819064, 129.175522331017)"
132,해운대 엑스더스카이,부산광역시 해운대구 달맞이길30 ,스타벅스,"(35.1613327099223, 129.168013841974)"
133,센텀신세계3F,부산광역시 해운대구 센텀남대로 35 (우동),스타벅스,"(35.1688178394069, 129.129523260187)"
134,해운대중동역,부산광역시 해운대구 좌동순환로 6 (중동),스타벅스,"(35.1672265004293, 129.168055541782)"
135,센텀몰1F,부산광역시 해운대구 센텀4로 15 (우동),스타벅스,"(35.1698614224623, 129.12829006113)"
136,그랜드조선 부산,부산광역시 해운대구 해운대해변로 292 (중동),스타벅스,"(35.1600663074705, 129.163127599383)"
137,방학역점,서울 도봉구 도봉로 684,스타벅스,"(37.6653558357799, 127.043607120894)"
138,파라스파라서울점,서울 강북구 삼양로 689,스타벅스,"(37.664946041388, 127.007686111659)"
139,도봉로DT점,서울 도봉구 도봉로 635,스타벅스,"(37.6611444410209, 127.041693852595)"
140,노원마들역점,서울 노원구 노원로 547,스타벅스,"(37.6609845717011, 127.057983848414)"
141,상계초교사거리점,서울 노원구 노원로 449,스타벅스,"(37.6566694543257, 127.066441585083)"
142,더북한산점,서울 은평구 대서문길 24-11,스타벅스,"(37.6554576593266, 126.947556374345)"
143,노원역점,서울 노원구 동일로 1413,스타벅스,"(37.6547688511508, 127.060019298479)"
144,노원KT점,서울 노원구 노해로 502,스타벅스,"(37.6544500497108, 127.063692307584)"
145,창동이마트점,서울 도봉구 노해로65길 4,스타벅스,"(37.651636123068, 127.046699282846)"
